Steps,Active_Minutes,Sleep_Hours,RHR,HRV,Recovery_Score
8807,68,9.1,48,72,100
8604,76,7.1,60,50,100
7267,57,6.5,57,63,100
9791,82,9.5,70,40,73
7819,66,5.5,61,55,68
8864,75,4.6,62,52,60
6813,56,7.7,57,58,100
7240,60,6.6,61,49,89
5859,54,6.0,63,53,67
7838,68,8.1,48,67,100
15235,116,7.5,59,48,95
16937,141,6.5,64,31,72
7779,58,5.7,49,81,89
10946,87,8.2,54,76,100
10133,69,8.0,63,36,99
11347,93,7.1,48,65,100
6484,49,9.4,59,47,82
6834,58,5.9,60,59,73
6026,52,5.4,58,59,73
8220,72,6.4,61,51,72
10004,77,7.1,61,43,87
8989,70,7.5,56,45,100
8571,83,6.9,65,41,86
9561,81,7.6,59,43,100
7798,62,5.7,67,54,64
11326,88,8.9,64,44,100
6207,69,7.1,51,65,100
14449,109,8.5,48,77,100
10700,80,7.6,61,46,100
5816,48,7.7,55,59,100
9074,71,7.9,59,62,100
12552,93,7.7,55,62,100
5865,43,8.0,54,56,100
11107,80,8.8,61,66,100
5842,47,7.4,55,62,93
13052,106,8.1,68,36,86
9561,75,7.1,50,68,100
18141,134,8.9,54,68,100
8127,79,6.4,63,44,67
8320,80,9.4,50,56,97
7792,64,7.2,62,65,96
8210,64,5.5,64,52,67
9816,73,7.4,50,71,100
5292,55,6.4,48,90,83
10495,83,8.2,64,43,98
7396,61,6.4,66,34,66
13824,100,6.7,57,60,96
9324,71,4.9,54,66,73
10724,89,6.7,61,52,97
7440,54,4.3,54,77,77
14201,117,5.3,68,35,39
11692,88,8.1,49,65,100
9286,75,8.1,67,46,98
9633,68,7.7,54,81,100
17815,133,6.0,58,85,79
12997,99,7.1,57,44,84
2755,32,7.2,62,47,74
9140,87,5.8,48,68,76
8487,73,9.0,62,49,100
15074,109,8.3,56,54,100
9527,72,6.9,65,55,99
18537,143,7.2,66,26,68
12838,110,7.5,51,55,100
12257,98,4.7,60,45,43
8300,75,6.9,52,48,96
8092,73,6.4,52,77,92
9933,92,6.0,57,36,69
10185,67,6.9,53,67,100
9854,86,9.4,51,51,98
8577,80,8.0,58,51,100
9425,67,6.5,59,67,98
13760,99,7.9,57,60,100
5757,46,8.9,50,64,100
10291,77,8.3,51,70,100
6725,55,7.3,60,50,96
12559,100,6.4,63,46,56
13945,114,8.0,58,39,99
13727,115,7.7,65,43,92
8222,63,8.3,48,99,100
5048,41,8.0,48,74,100
13496,115,8.5,64,35,91
11192,94,6.6,68,35,79
7048,62,8.8,55,62,100
9118,79,7.4,49,63,100
10974,87,9.7,50,63,99
9773,84,6.4,60,51,75
12561,96,9.3,58,53,87
7203,65,7.4,53,60,100
10469,72,6.4,55,56,87
16560,119,6.6,73,22,58
7756,61,6.8,57,52,100
7606,62,7.7,62,42,100
10591,78,7.8,65,58,100
7984,63,6.5,48,100,100
10295,71,7.2,48,61,100
6781,64,9.8,63,50,90
5180,48,9.3,49,69,83
22227,149,7.7,53,62,100
8100,62,7.2,52,61,100
14261,112,7.3,53,64,93
15722,115,7.9,51,86,100
15096,110,6.0,68,38,42
11560,91,6.9,58,62,100
11915,97,5.2,57,41,63
10008,70,7.7,50,63,100
13103,106,8.0,52,41,100
1940,21,6.6,57,49,83
13948,107,9.1,63,51,82
6754,59,5.7,54,70,87
10969,83,5.4,51,69,76
8182,61,7.5,65,36,100
10451,82,8.5,54,56,100
11569,105,9.2,63,44,80
10998,77,6.6,68,36,76
8338,84,8.5,52,52,100
18144,133,7.2,61,50,86
13397,104,7.0,48,91,100
12441,89,8.3,53,61,100
9091,69,8.0,69,34,92
14442,107,5.3,72,47,40
8404,62,9.0,51,70,100
6751,58,8.9,48,86,100
8671,69,6.4,64,31,66
10513,99,7.7,69,27,91
12408,88,7.8,48,83,100
6736,60,7.5,56,61,100
7998,70,6.5,59,42,86
8445,62,6.4,55,63,83
7197,68,7.2,79,15,58
13705,103,8.6,59,55,100
10119,62,7.9,59,60,100
6842,65,6.8,51,69,100
12724,90,8.1,66,40,93
13184,94,3.8,58,56,52
7396,69,8.6,59,41,100
10045,79,5.1,57,59,70
7143,69,6.8,59,42,86
20921,164,5.9,57,49,56
7290,58,5.6,64,40,59
8274,76,8.6,55,65,100
9226,70,6.6,48,68,100
9094,93,7.6,63,51,100
13179,97,7.1,59,56,87
10776,95,7.8,63,33,100
9946,88,7.3,53,51,100
9432,80,5.7,57,54,77
8568,66,8.4,48,94,100
10800,85,6.6,65,38,86
18188,119,5.3,48,77,73
12993,103,6.7,48,70,100
6203,59,9.0,54,59,100
8375,71,8.2,48,81,100
8510,47,6.8,58,61,100
6976,51,6.8,52,61,100
6128,49,6.8,65,54,96
7145,64,9.7,48,73,100
10119,84,7.7,56,71,100
5769,52,7.7,60,46,92
15330,122,8.4,69,35,84
8615,64,7.5,59,52,100
10599,90,6.9,67,43,83
13728,110,7.0,56,54,96
7823,70,7.1,48,74,100
9590,77,7.2,66,48,85
9357,92,8.1,57,54,100
10081,86,7.3,58,56,100
8129,61,8.1,57,68,100
7188,64,7.1,67,21,71
7399,70,7.3,63,46,87
9649,74,4.8,54,58,70
10149,91,8.3,50,73,100
10172,85,7.6,61,48,99
10264,64,8.4,63,27,96
7260,65,3.7,51,64,62
7092,59,9.7,67,45,69
7846,71,7.0,68,37,82
7203,70,8.5,61,46,100
15434,119,6.0,60,52,63
11558,105,7.9,60,46,100
14594,110,5.9,76,22,35
11227,94,6.5,51,68,100
8092,75,9.5,51,74,100
8720,72,7.0,58,65,100
9443,84,7.5,61,38,100
11609,87,8.2,65,52,100
7632,62,7.8,51,55,100
11372,80,7.4,60,64,98
13911,109,7.6,52,65,100
6049,57,10.1,61,44,79
8978,84,7.1,50,56,100
10245,89,7.4,53,62,100
11293,88,8.5,48,77,100
7704,56,8.5,51,66,100
13574,108,8.6,52,67,100
8789,82,8.0,61,56,100
10267,89,5.8,50,76,87
11309,99,9.2,56,61,98
14695,111,5.8,58,42,61
10705,82,7.6,48,76,100
12068,89,6.3,61,65,65
10024,81,7.1,57,48,91
16852,126,7.6,67,48,84
6201,57,7.6,55,59,100
7634,64,7.7,55,62,100
8575,71,9.1,61,58,91
12251,90,7.7,61,60,100
4093,49,6.9,48,80,100
9775,80,8.4,50,71,100
10940,86,8.6,56,58,100
13747,100,5.7,53,69,72
4231,32,7.9,67,40,86
11228,100,8.0,55,61,100
16925,132,6.8,49,82,100
4394,31,8.9,65,52,100
16920,133,7.0,64,42,74
10207,90,7.4,63,45,86
8258,71,7.0,58,39,93
13141,115,7.2,52,43,86
20186,151,5.9,61,49,44
11010,77,5.5,66,34,61
8340,73,9.1,55,55,100
11711,95,6.2,53,69,82
9554,73,6.0,63,41,64
6884,65,4.6,53,78,78
7386,50,6.4,55,63,84
12110,103,5.6,49,70,79
11702,85,9.2,65,45,80
7377,56,8.4,51,68,100
15105,114,6.4,66,39,58
13548,108,9.9,50,68,86
15750,121,8.4,54,58,100
7453,58,6.8,55,63,100
10345,79,4.2,65,37,47
6504,49,9.9,65,42,77
8659,70,5.5,53,64,76
15804,128,5.2,56,41,54
8599,72,8.4,53,62,100
12726,106,10.1,69,34,57
13567,117,8.9,51,68,100
15623,114,7.9,64,37,93
10902,86,7.9,58,63,100
5511,69,8.2,51,64,100
6618,70,8.1,55,45,100
14770,100,7.5,53,64,100
11326,93,7.3,54,59,100
10177,82,7.1,57,47,96
15761,126,6.3,63,40,55
8102,63,6.9,71,26,69
16231,116,5.2,55,60,64
11586,86,7.1,68,32,77
6362,52,6.0,64,56,71
8699,79,5.9,58,51,77
11202,80,7.4,55,65,100
7126,57,8.9,57,50,100
9242,62,8.3,56,50,100
8496,79,5.3,51,66,75
10526,95,6.0,54,60,78
4891,44,8.3,57,60,100
7521,62,6.0,64,62,75
14869,117,6.9,64,32,74
4843,59,7.9,51,66,100
8661,76,6.0,54,64,80
7629,60,7.3,65,40,85
14087,95,5.6,60,51,61
6403,48,6.5,63,54,98
11766,94,7.6,49,53,100
8452,66,5.3,48,60,76
15531,120,7.7,48,76,100
13642,101,7.2,55,71,100
9151,67,7.9,59,35,100
11971,85,7.5,48,64,100
8749,85,8.8,52,75,100
9831,87,7.4,56,61,100
9022,88,6.7,48,71,100
14047,112,7.3,48,85,100
13777,103,7.9,48,70,100
7262,74,7.3,56,59,100
9765,79,7.2,49,71,100
10823,88,6.4,59,57,80
9703,79,6.4,48,55,84
12539,75,5.5,56,50,63
5903,67,9.3,48,78,99
8409,74,5.7,61,43,59
12929,103,6.4,48,78,87
7595,65,6.3,58,62,81
12120,97,8.3,58,34,100
8232,65,6.8,55,61,100
11677,97,8.7,73,23,83
10295,73,6.4,61,64,77
10004,83,7.5,50,68,100
11235,94,6.2,62,46,67
14180,107,9.8,49,57,86
5235,52,5.8,48,84,81
8659,64,7.6,64,47,100
4467,37,8.0,64,39,92
8687,74,7.7,53,77,100
10711,91,7.0,48,84,100
9198,61,7.0,60,55,98
6691,63,7.3,59,70,100
17758,129,7.0,51,75,100
6881,59,8.4,63,44,98
10266,72,9.9,60,48,79
7135,55,6.5,48,73,100
7348,71,5.6,53,80,91
15724,120,7.1,52,63,91
10909,84,10.3,65,42,79
6760,59,6.2,48,85,92
9911,84,9.2,56,47,89
11832,97,9.2,65,50,95
9466,77,6.5,54,60,100
14687,121,7.9,54,78,100
16725,134,9.2,52,68,88
9117,79,6.7,48,61,100
10187,83,7.0,58,62,100
8705,78,6.5,55,56,100
13257,105,6.0,57,63,70
10505,93,6.4,73,17,40
8829,81,5.7,53,51,79
11390,82,7.2,57,59,100
14980,106,6.3,73,38,47
10822,81,7.5,57,61,100
9590,86,5.3,58,52,72
9345,64,7.6,51,81,100
12434,101,8.2,49,79,100
15526,121,4.8,61,48,44
12750,109,7.6,54,53,100
7730,67,8.7,59,54,100
12232,85,5.7,64,48,54
9066,67,9.2,53,58,100
13034,92,7.7,68,44,86
8863,69,6.4,64,38,68
7079,60,7.1,50,64,100
10263,74,7.9,58,64,100
15373,129,7.3,61,43,77
9656,68,7.8,55,68,100
9029,85,6.1,60,46,66
12365,106,7.4,56,59,95
9550,85,5.5,55,67,80
14167,103,7.1,59,54,90
9366,80,6.1,48,62,80
9292,66,6.3,56,47,69
8798,80,8.7,62,52,100
9053,74,8.5,58,52,100
9181,72,7.9,60,44,100
11125,79,5.9,53,52,83
8590,52,6.8,62,32,86
12781,91,8.7,52,48,100
8029,77,7.4,59,51,100
6707,56,10.0,57,51,97
5297,48,7.7,55,51,100
17421,136,7.4,58,54,93
11938,109,6.8,56,62,100
8746,83,7.4,61,68,97
6264,48,7.0,55,45,94
6377,41,8.0,69,37,93
6995,80,8.3,68,39,94
8548,90,6.3,57,48,72
15380,119,5.6,60,50,59
11365,80,5.0,60,43,56
13348,111,7.8,66,36,92
8788,72,5.9,66,48,64
9380,76,4.6,59,58,59
14614,119,7.7,56,64,100
11597,94,10.2,59,47,77
7448,55,7.2,54,49,94
5642,50,8.2,62,41,92
7962,73,7.3,62,55,94
8327,74,7.1,57,42,95
5302,52,8.3,50,64,100
13004,109,6.9,69,28,65
11601,89,7.5,56,50,100
8118,70,7.6,52,60,100
9297,49,6.4,55,58,85
10396,80,8.4,48,95,100
10725,92,7.0,52,60,100
13983,105,6.3,66,40,53
8232,66,7.8,53,54,100
9017,66,6.1,62,28,62
9265,84,7.2,55,54,100
9360,81,7.2,65,43,87
15652,125,8.5,51,69,100
6881,47,7.8,59,47,100
5628,51,7.2,58,53,94
8187,67,8.2,55,45,100
8767,71,8.9,49,81,100
10385,79,7.9,61,50,100
12723,97,7.2,48,82,100
7961,74,5.6,57,67,80
13837,91,5.9,50,62,73
10485,99,6.8,60,61,97
9092,79,6.5,56,61,100
8147,68,7.0,68,26,71
7655,73,7.3,59,51,97
13817,95,7.8,52,68,100
6071,50,7.1,63,54,95
12116,94,7.8,62,34,90
9313,88,7.3,55,54,100
10927,87,4.8,51,81,83
6940,64,6.1,48,74,90
8420,66,7.0,62,54,95
6016,59,5.7,59,69,78
21023,168,7.9,58,50,100
8773,81,9.0,71,29,89
7033,61,8.7,58,41,100
11942,100,6.9,51,78,100
6855,65,9.0,60,51,100
13351,108,7.4,61,51,88
8401,79,6.8,57,51,100
8707,81,6.5,48,84,100
11052,87,6.8,50,79,100
10945,93,6.7,48,88,100
16793,123,7.4,57,53,91
6819,53,7.4,60,59,95
10119,80,7.2,67,32,77
6770,59,7.7,56,77,100
12497,85,8.6,69,37,84
10969,95,8.3,54,58,100
13400,82,5.4,64,39,51
9290,98,4.1,61,46,50
8333,82,8.3,56,42,100
8522,69,5.6,57,46,67
10466,84,6.9,58,47,95
11616,94,5.8,53,47,65
14863,109,5.0,52,68,64
9037,76,7.8,63,38,100
9559,77,8.1,50,58,100
9103,74,6.5,52,73,100
10561,86,4.1,64,47,48
11323,79,6.5,63,44,86
8454,71,7.7,57,52,100
10748,87,5.4,53,73,90
12913,102,7.4,59,58,89
10918,86,7.2,62,47,84
7330,72,7.9,51,62,100
6698,56,7.3,65,38,90
6367,59,6.0,58,65,80
6903,71,8.6,53,61,100
13204,102,7.0,68,50,79
12593,100,7.2,61,42,81
11683,92,6.1,63,42,63
8200,79,6.7,52,63,100
5532,49,6.1,51,73,80
8997,85,7.0,55,45,92
8493,70,9.3,53,62,100
14414,104,5.6,66,24,39
6229,61,5.3,62,46,58
7233,60,9.0,61,55,100
10763,91,6.9,66,41,87
9962,59,6.4,54,41,75
4618,45,8.4,70,45,83
17213,126,6.5,57,59,94
15437,109,9.4,56,52,87
5877,49,8.0,72,21,76
6962,56,6.6,71,23,73
9756,79,9.8,58,46,84
8470,60,6.5,55,62,100
12056,97,8.1,71,15,69
12436,108,7.6,59,48,94
10078,84,8.8,58,47,100
11541,98,9.1,48,76,100
6250,65,7.2,60,49,87
7698,76,6.3,57,61,83
9368,92,7.8,59,57,100
10538,81,6.4,74,23,50
15509,112,9.6,54,67,88
5714,59,7.4,54,58,96
14229,115,6.8,58,63,94
8329,76,7.4,48,110,100
11007,103,5.6,66,24,49
8866,74,6.0,48,81,93
14402,114,8.6,63,51,97
9236,68,6.4,60,59,77
12066,112,5.9,60,54,65
10398,81,7.8,64,49,100
5876,51,8.6,58,46,100
9065,72,8.1,57,60,100
8391,65,8.4,66,32,99
6520,52,6.3,56,66,85
11067,84,5.5,59,49,60
12368,86,9.0,63,38,88
8146,63,6.8,62,48,86
12104,111,6.9,53,74,100
8076,74,8.8,58,47,100
7992,75,7.9,55,60,100
8318,79,7.7,58,44,100
17150,144,9.8,48,66,83
11670,78,6.4,54,65,89
14712,103,8.3,49,83,100
17921,128,7.3,60,52,83
8407,67,7.5,48,65,100
5340,48,9.0,56,56,100
12151,92,7.8,48,74,100
5661,54,7.8,67,44,88
10533,85,8.5,49,66,100
12703,93,6.8,64,52,87
8717,55,6.2,62,54,75
11510,83,5.9,53,56,78
8741,68,4.8,51,59,67
3321,35,9.7,60,53,79
11172,80,5.9,53,58,79
13272,99,6.9,48,79,100
6304,47,6.9,50,70,100
10151,81,7.6,48,68,100
12744,91,8.2,51,48,99
17251,123,8.2,64,42,91
9264,66,6.5,50,69,100
9258,75,7.0,50,68,100
15133,108,7.5,51,77,100
9141,83,6.9,66,46,88
8636,75,9.1,58,52,100
13595,105,7.8,66,30,86
11857,87,8.1,62,49,100
14273,113,8.0,48,70,100
10169,88,8.6,61,48,100
9177,77,7.4,56,65,100
8688,85,5.6,61,52,72
6829,64,7.7,48,60,100
5422,58,6.4,61,38,58
12991,102,6.6,54,56,95
7425,69,7.9,74,15,76
9742,73,8.7,61,52,100
10437,80,7.2,73,31,74
10083,85,7.6,48,73,100
11697,95,9.2,51,67,97
11498,95,7.5,59,62,100
7402,73,10.3,49,78,100
6435,46,7.9,68,41,95
8577,64,5.1,48,81,81
8593,74,8.1,48,69,100
10555,79,7.7,54,51,100
7508,92,8.7,48,72,100
8800,77,8.0,67,38,95
14280,109,7.0,67,43,68
6128,51,5.7,68,46,51
12760,96,6.9,64,47,78
11078,89,6.2,69,39,57
9249,77,6.5,48,73,100
6516,54,7.9,54,51,100
8407,68,9.2,59,60,95
13243,114,7.7,63,46,90
10351,95,5.8,69,28,45
10646,87,7.7,57,59,100
1839,16,8.6,70,26,75
10827,91,6.5,63,54,100
11090,101,7.0,71,34,77
10210,94,7.2,48,85,100
5609,58,6.3,55,69,71
10054,93,8.0,59,57,100
12276,97,7.1,48,74,100
10827,92,7.7,66,42,100
9489,72,6.1,49,63,81
10858,89,6.7,61,58,95
12463,108,8.1,51,59,100
6126,51,6.8,51,74,100
8040,61,9.3,50,66,99
7518,65,6.7,58,59,100
9960,79,7.5,67,30,90
9605,84,8.3,57,41,100
9060,71,5.5,60,53,70
5587,65,5.1,55,56,64
8338,60,5.4,68,38,52
8542,81,8.7,48,91,100
6581,52,6.5,50,78,100
14553,97,10.3,50,64,83
7139,64,6.5,55,56,100
12053,93,7.4,57,52,95
7240,54,9.1,67,41,71
8601,58,9.6,64,56,87
11665,92,9.7,53,59,92
6599,66,8.7,69,36,96
8725,77,8.4,48,60,100
14705,113,7.9,54,53,100
